x^3-2x+2
 iteration      x lower          x upper          x middle           f(x)
     0         -5.00000          5.00000          0.00000          2.00000
     1         -5.00000          0.00000         -2.50000         -8.62500
     2         -2.50000          0.00000         -1.25000          2.54688
     3         -2.50000         -1.25000         -1.87500         -0.84180
     4         -1.87500         -1.25000         -1.56250          1.31030
     5         -1.87500         -1.56250         -1.71875          0.36014
     6         -1.87500         -1.71875         -1.79688         -0.20793
     7         -1.79688         -1.71875         -1.75781          0.08416
     8         -1.79688         -1.75781         -1.77734         -0.05986
     9         -1.77734         -1.75781         -1.76758          0.01266
    10         -1.77734         -1.76758         -1.77246         -0.02347
    11         -1.77246         -1.76758         -1.77002         -0.00538
    12         -1.77002         -1.76758         -1.76880          0.00365
    13         -1.77002         -1.76880         -1.76941         -0.00086
